codigo;oem;descripcion;modelos;precio
2133/98;_;TAPON DE GOMA P/CAÑO CALEFACCION  8 MM. ;UNIVERSAL;145
2133/99;_;TAPON DE GOMA P/CAÑO CALEFACCION 10 MM. ;UNIVERSAL;179
2134/01;_;TAPON DE GOMA P/CAÑO CALEFACCION 13 MM ;UNIVERSAL;204
2134/02;_;TAPON DE GOMA P/CAÑO CALEFACCION 16 MM ;UNIVERSAL;216
2134/03;_;TAPON DE GOMA P/CAÑO CALEFACCION 19 MM ;UNIVERSAL;239
2134/04;_;TAPON DE GOMA P/CAÑO CALEFACCION 22 MM ;UNIVERSAL;326
2134/05;_;TAPON DE GOMA P/CAÑO CALEFACCION 25 MM. ;UNIVERSAL;345
2134/10;_;CONECTOR RECTO METALICO P/MANGUERA 16 MM. ;UNIVERSAL;195
2134/11;_;CONECTOR RECTO METALICO P/MANGUERA 19 MM. ;UNIVERSAL;193
2134/12;_;CONECTOR RECTO METALICO P/MANGUERA 25 MM. ;UNIVERSAL;194
2134/14;_;"CONECTOR ""T"" P/MANGUERA 16 MM.PICO 10 MM.";UNIVERSAL;164
2134/15;_;"CONECTOR ""T"" P/MANGUERA 16 MM.PICO 16 MM.";UNIVERSAL;162
2134/16;_;"CONECTOR ""T"" P/MANGUERA 19 MM.PICO 10 MM.";UNIVERSAL;164
2134/17;_;"CONECTOR ""T"" P/MANGUERA 26 MM.PICO 16 MM.";UNIVERSAL;305
2134/18;_;"CONECTOR ""T"" P/MANGUERA 16 MM.C/PURGADOR ";UNIVERSAL;285
2134/19;_;"CONECTOR ""T"" P/MANGUERA 18 MM.C/PURGADOR ";UNIVERSAL;246
2134/20;_;"CONECTOR ""T"" P/MANGUERA 36 MM.C/PURGADOR ";UNIVERSAL;356
2135/10;2S65-8125-BA;AISLADOR DE RADIADOR;FIESTA/FOCUS/ECOSPORT;1185
2135/13;1S4H-8125-AA;AISLADOR DE RADIADOR;FOCUS 03/08  1.6 ROCAM/2.0 DURATEC;1190
2135/14;BE8Z-8125-A;AISLADOR DE RADIADOR (SUPERIOR);FIESTA/KA/ECOSPORT 10/;740
2135/15;BE8Z-8124-A;AISLADOR DE RADIADOR (INFERIOR);FIESTA/KA/ECOSPORT 10/;1148
2135/18;AB39-8C449-AA;SOPORTE DE RADIADOR;RANGER 12/   2.2/3.2  MOTOR PUMA;1132
2145/01;BA-D3DZ-7034-A;BUJE COLA DE CAJA SAGINAW/3.0.3    (ALT.27 MM.);FALCON/F-100;1711
2145/02;B3TZ-7A034-A;BUJE COLA DE CAJA IKA/FAE/3.0.3/ZF (ALT.38 MM.);FALCON/F-100;1767
2151/00;C5AZ-7050-E;GUIA DE DIRECTA 3.0.3;FALCON/F-100;4740
2159/01;BA-D3DZ-7050-A;GUIA DE DIRECTA SAGINAW;FALCON 4 VELOC.;4740
2175/15;C3AZ-7109-A;KIT TRABAS MACIZAS 1º         3.0.3;FALCON/F-100;991
2175/16;C3AZ-7A044-A;KIT TRABAS HUECAS  2º Y 3º 3.0.3;FALCON/F-100;412
2175/17;BA-D3DZ-7A044-A;KIT TRABAS MACIZAS 1º,2º,3º Y 4º SAGINAW;FALCON;823
2180/00;C4AZ-7107-C;"ANILLO ""ROT"" 2º Y 3º   3.0.3";FALCON/F-100;1209
2180/05;87TT-7107-AA;"ANILLO ""ROT"" 3º,4º Y 5º";ESCORT 88/92 1.6 CHT;64
2181/00;C4AZ-7107-A;"ANILLO ""ROT"" 1º Y M/A. 3.0.3";FALCON/F-100/RANGER;1530
2185/00;BA-D3DZ-7107-A;"ANILLO ""ROT"" 1º,2º,3º Y 4º SAGINAW";FALCON;1209
2190/00;BA-D3DZ-7212-A;TUBO SELECTOR DE CAMBIOS 708 MM.;FALCON 73/78;1800
2190/01;BA-D8DZ-7212-A;TUBO SELECTOR DE CAMBIOS 690 MM.;FALCON 78/81;1800
2190/02;BA-E2DZ-7212-A;TUBO SELECTOR DE CAMBIOS 697 MM.;FALCON 82/;1800
2191/00;C5TZ-7212-A;TUBO SELECTOR DE CAMBIOS 720 MM.;F-100 66/73;1800
2193/00;BA-D4TZ-7212-A;TUBO SELECTOR DE CAMBIOS 720 MM.;F-100 74/78;1800
2193/01;BA-E9TZ-7212-A;TUBO SELECTOR DE CAMBIOS 740 MM.;F-100 78/;1800
2200/00;BA-D3DZ-7302-A;LEVA DE CAMBIOS 2º Y 3º;FALCON 73/92;902
2201/00;BA-D3DZ-7303-A;LEVA DE CAMBIOS 1º Y M/A.;FALCON 73/92;1281
2204/00;C5TZ-7302-A;LEVA DE CAMBIOS 2º Y 3º;F-100 66/;1081
2204/03;BA-D3DZ-7302/3-A;KIT LEVAS SELECTORAS Y ESPACIADOR;FALCON 73/;2297
2204/05;C5TZ-7302/3-A;KIT LEVAS SELECTORAS Y ESPACIADORES;F-100 66/;2504
2205/00;C5TZ-7303-A;LEVA DE CAMBIOS 1º Y M/A.;F-100 66/;1117
2205/03;C5TZ-7343-A;BUJE LEVA DE CAMBIOS;F-100 66/;574
2205/11;D3TZ-7285-A;PALANCA DE HORQUILLA 2º Y 3º   3.0.3;F-100 81/;995
2205/12;D3TZ-7290-A;PALANCA DE HORQUILLA 1º Y M/A. 3.0.3;F-100 81/;951
2207/00;BA-D3DZ-7336-A;ESPACIADOR LEVA DE CAMBIOS;FALCON 73/;68
2208/00;C5TZ-7336-A;ESPACIADOR LEVA DE CAMBIOS;FALCON 68/72/F-100 66/;156
2210/00;C5TZ-7D363-A;ESPACIADOR LEVA DE CAMBIOS;FALCON 68/72/F-100 66/;50
2212/00;BA-DODZ-7343-A;BUJE LEVA DE CAMBIOS;FALCON 73/92;61
2213/00;B9MF-7242-B;ARANDELA ELASTICA BOCHA;FALCON 62/73/F-100   /78;235
2213/01;BA-D3DZ-7242-B;ARANDELA ELASTICA BOCHA;FALCON 73/92/F-100 78/;235
2214/00;FEK-7228-AP;BOCHA PALANCA CAMBIOS (ZAMAC);FALCON 62/73/F-100 62/78;5011
2214/11;BA-C6DZ-7228-A;BOCHA PALANCA CAMBIOS (ZAMAC);FALCON 78/92/F-100 79/;6029
2216/03;B8S-7246-A;BUJE DE GOMA PALANCA;FALCON/F-100;102
2216/04;B8S-7335-A;ARANDELA DE GOMA PUNTA PALANCA;FALCON/F-100;35
2216/05;357479-S;ESPINA ELASTICA PALANCA CAMBIOS;FALCON 62/72/F-100 66/78;21
2216/06;COAA-7B125-A;KIT PERNOS Y RESORTE PALANCA;FALCON 65/78/F-100 66/78;29
2216/11;BA-D8DZ-7D439-A;PERNO PALANCA GRUESO;FALCON 78/92/F-100 78/;159
2219/15;86AU-7K387-AA;PALANCA DE CAMBIOS;ESCORT 88/92 1.6 CHT;3073
2219/43;86AU-7279-BA;CAJA INFERIOR PALANCA CAMBIOS;ESCORT 88/92 1.6 CHT;1275
2219/44;86AU-7A307-BA;CAJA SUPERIOR PALANCA CAMBIOS;ESCORT 88/92 1.6 CHT;864
2219/47;_;BULON CAJA SOPORTE PALANCA;ESCORT/FIESTA/KA/FOCUS/COURIER;22
2219/63;431 711197;RESORTE PRESION PALANCA;ESCORT/ORION 94/96;140
2220/00;BA-D3DZ-3B564-B;AISLADOR INFERIOR TUBO SELECTOR;FALCON 73/;525
2220/01;BA-D3DZ-7335-A;BUJE INFERIOR TUBO SELECTOR ;FALCON 73/;453
2220/02;C8AZ-7335-A;BUJE SUPERIOR TUBO SELECTOR;FALCON/F-100 78/;67
2220/03;D6DZ-7335-A;BUJE INTERMEDIO TUBO SELECTOR;FALCON/F-100 78/;56
2220/07;_;REPARACION PALANCA DE CAMBIOS CAJA CLARK;F-100/4000 92/;3504
2220/08;1L2Z-7228-AA;REPARACION PALANCA CAMBIOS  ;F-100 95/98/RANGER 94/12;4793
2220/09;BG1T-7D152-A;REPARACION PALANCA CAMBIOS ;RANGER 01/12;1790
2221/00;74BR-7K387;KIT REPARACION PALANCA CAMBIOS;TAUNUS;2686
2221/01;84BR-7K387;KIT REPARACION PALANCA CAMBIOS;SIERRA;4373
2221/04;86AU-7K069-AA;KIT REPARACION PALANCA CAMBIOS;ESCORT 88/92 1.6 CHT;1482
2221/08;_;KIT REPARACION PALANCA/SELECTOR CAJA MQ;ESCORT/ORION 94/96;2943
2221/11;90AU-7312-C;KIT REPARACION PALANCA Y SELECTOR CAJA AUDI;ESCORT 1.8;4625
2221/12;_;KIT REPARACION SELECTOR CAMBIOS     CAJA AUDI;ESCORT 1.8;2760
2221/13;90AU-7E148-AA;BIELETA SELECTORA CAMBIOS CAJA AUDI ;ESCORT 1.8;209
2221/14;90AU-7W304-A;BIELETA SELECTORA CAMBIOS CAJA AUDI;ESCORT 1.8;1328
2221/15;_;KIT REPARACION PALANCA;ESCORT 97/   /FIESTA/KA/COURIER;1622
2221/16;AS55-7K387-AB;KIT PALANCA Y BUJE SELECTOR CAMBIOS;FIESTA/KA/FOCUS/ECOSPORT 10/;7405
2221/17;_;KIT REPARACION PALANCA Y SELECTOR CAJA AUDI;ESCORT 1.8;5303
2221/19;02J 301233 E;EJE SELECTOR CAMBIOS ;ESCORT/ORION 94/96;15203
2221/20;02A 301223;KIT REPARACION EJE SELECTOR CAJA MQ;ESCORT/ORION 94/96;5820
2221/22;_;KIT BUJES REPAR.CABLE SELECTOR CAMBIOS MQ;ESCORT/ORION 94/96;228
2221/23;90AU-7W424-AA;BIELETA SELECTORA CAMBIOS CAJA AUDI ;ESCORT 1.8;469
2221/24;XS4R-7K387-BC;KIT REPARACION PALANCA DE CAMBIOS;FOCUS;4855
2221/25;_;MANCHON BIELA SELECTORA;ESCORT/FIESTA/KA/FOCUS;618
2221/26;547 711156;SOPORTE PALANCA CAMBIOS CAJA MQ;ESCORT/ORION 94/96;2262
2221/27;_;KIT REPARACION PALANCA CON SOPORTE CAJA MQ;ESCORT/ORION 94/96;5310
2221/41;77TT-7288-AA;RETEN EJE SELECTOR;ESCORT 88/92 CHT/ESCORT 97/  /FIESTA/KA;978
2221/45;_;KIT REPARACION PALANCA    CAMBIOS     CAJA AUDI;ESCORT 1.8;1865
2221/49;_;KIT REPARACION PALANCA CAMBIOS (PARCIAL);FIESTA/KA/FOCUS/ECOSPORT 10/14;2974
2221/50;2S55-7K387-AB;KIT PALANCA CAMBIOS CON SOPORTE;FIESTA/KA/FOCUS/ECOSPORT 10/14;19812
2221/51;_;KIT REPARACION PALANCA CAMBIOS;FIESTA/KA/FOCUS/ECOSPORT 10/14;9255
2221/52;_;PALANCA DE CAMBIOS;FIESTA/KA/FOCUS/ECOSPORT 10/;5864
2221/53;_;LEVA SELECTORA PALANCA DE CAMBIOS;FIESTA/KA/FOCUS/ECOSPORT 10/14;3524
2221/54;_;BUJE SELECTOR PALANCA CAMBIOS;FIESTA/KA/FOCUS/ECOSPORT 10/;1395
2221/55;_;PERNO SELECTOR PALANCA CAMBIOS;FIESTA/KA/FOCUS/ECOSPORT 10/;441
2221/56;_;TRABA SELECTOR PALANCA CAMBIOS;FIESTA/KA/FOCUS/ECOSPORT 10/;197
2221/57;_;RESORTE LEVA SELECTORA PALANCA DE CAMBIOS;FIESTA/KA/FOCUS/ECOSPORT 10/;449
2221/59;_;KIT REPARACION PALANCA CAMBIOS (PARCIAL);FIESTA/KA/FOCUS/ECOSPORT 14/;3350
2222/10;95VB-7202-FA;PALANCA DE CAMBIOS;TRANSIT 96/;5217
2222/11;92VB-7K387-AA;REPARACION PALANCA DE CAMBIOS;TRANSIT 96/00;918
2222/12;YC1R-7K387-AK;REPARACION PALANCA DE CAMBIOS;TRANSIT 01/;820
2222/19;6C1R-7F027-CA;BIELETA SELECTORA CAMBIOS;TRANSIT 10/  6 VEL.;1055
2225/10;8M-3641-B;BULON CON TUERCA CAJA LUZ GIRO;FALCON/F-100/350   /77;202
2267/00;B3TZ-7561-A;PORTA RULEMAN EMBRAGUE ;F-100 59/64/F-250/700 59/;2370
2268/00;BA-C5TZ-7561-A;PORTA RULEMAN EMBRAGUE ;F-100 65/  8 CIL./4-203;2370
